state,year,visitors_thousand,population_thousand,occupancy_pct,intensity,growth_vs_2019
Johor,2018,13487.2379119749,3749.4,58.7,3.5972,0.9449
Johor,2019,14274.0,3761.2,57.3,3.7951,1.0
Johor,2020,7243.0,4009.7,32.0,1.8064,0.5074
Johor,2021,3657.55,4020.0,24.9,0.9098,0.2562
Johor,2022,12376.202,4028.3,48.3,3.0723,0.867
Johor,2023,15804.89,4107.2,50.7,3.8481,1.1073
Johor,2024,17138.338,4184.4,52.3,4.0958,1.2007
Johor,2025,18196.973,4204.1,54.2,4.3284,1.2748
Kedah,2018,14480.018395565,2163.0,56.1,6.6944,0.9763
Kedah,2019,14831.0,2173.7,55.7,6.8229,1.0
Kedah,2020,10108.0,2131.4,26.1,4.7424,0.6815
Kedah,2021,4023.002,2151.7,23.2,1.8697,0.2713
Kedah,2022,11186.197,2163.1,32.5,5.1714,0.7542
Kedah,2023,13444.055,2189.3,43.4,6.1408,0.9065
Kedah,2024,14651.4879543306,2217.1,46.6,6.6084,0.9879
Kedah,2025,15607.884,2227.1,50.9,7.0082,1.0524
Kelantan,2018,9846.1234357734,1860.5,44.1,5.2922,0.8962
Kelantan,2019,10986.0,1883.8,43.4,5.8318,1.0
Kelantan,2020,6058.0,1792.5,34.6,3.3796,0.5514
Kelantan,2021,1920.93,1812.3,34.3,1.0599,0.1749
Kelantan,2022,6627.155,1830.6,46.4,3.6202,0.6032
Kelantan,2023,7549.37,1859.8,41.2,4.0592,0.6872
Kelantan,2024,10514.411,1887.9,43.2,5.5694,0.9571
Kelantan,2025,12062.016,1906.9,43.5,6.3255,1.0979
Melaka,2018,13122.6041634891,922.4,57.3,14.2266,0.9387
Melaka,2019,13979.0,928.4,51.7,15.0571,1.0
Melaka,2020,7275.0,998.4,20.0,7.2867,0.5204
Melaka,2021,3878.14,1004.5,25.8,3.8608,0.2774
Melaka,2022,11757.166,1008.6,40.1,11.6569,0.8411
Melaka,2023,15558.661,1028.3,44.7,15.1305,1.113
Melaka,2024,19128.405,1046.7,45.4,18.275,1.3684
Melaka,2025,20832.201530282,1052.0,46.1,19.8025,1.4902
Negeri Sembilan,2018,12802.1189060886,1122.9,54.2,11.4009,0.9623
Negeri Sembilan,2019,13303.0,1126.2,51.9,11.8123,1.0
Negeri Sembilan,2020,7918.0,1200.0,25.5,6.5983,0.5952
Negeri Sembilan,2021,5485.17,1204.2,22.7,4.555,0.4123
Negeri Sembilan,2022,11490.144,1207.9,38.7,9.5125,0.8637
Negeri Sembilan,2023,14959.47,1224.9,41.0,12.2128,1.1245
Negeri Sembilan,2024,17784.532,1239.5,42.2,14.3482,1.3369
Negeri Sembilan,2025,19356.545,1243.9,44.2,15.5612,1.4551
Pahang,2018,18111.3565763172,1664.7,78.8,10.8797,0.9791
Pahang,2019,18498.0,1671.4,79.4,11.0674,1.0
Pahang,2020,9905.0,1591.3,40.7,6.2245,0.5355
Pahang,2021,3404.772,1601.5,19.6,2.126,0.1841
